word,tfidf_score,semantic_position,frequency,relative_frequency,sentiment_label,sentiment_score
inflation,0.25630751562417153,0.1573344646995291,629,0.010418392023056283,Neutral,0.967172384262085
growth,0.25415502415514546,0.32469445691802845,671,0.011114055719349389,Positive,0.999591052532196
equity,0.21092949553056856,0.11687712950669316,185,0.00306423294795773,Neutral,0.9944877028465271
rate,0.20406755977585084,0.45599803707554387,125,0.002070427667539007,Neutral,0.990522563457489
yield,0.1696137181253127,0.44246689187189614,98,0.0016232152913505814,Neutral,0.993137776851654
policy,0.16217487341411932,0.4792704576563272,260,0.004306489548481134,Neutral,0.9958975315093994
risk,0.15978382983543632,0.4976943716874404,184,0.003047669526617418,Negative,0.9412673711776733
bond,0.1531114134367521,0.4636382707628841,145,0.002401696094345248,Neutral,0.9852535128593445
return,0.14359071914552318,0.6114513340382149,78,0.0012919468645443402,Positive,0.6636303663253784
global,0.13925299042807804,0.4889287296100789,242,0.004008347964355517,Neutral,0.7521668672561646
china,0.12412237239232458,0.377761267626343,209,0.0034617550601252194,Neutral,0.9977070093154907
asset,0.11738909973534274,0.2854693080670993,83,0.0013747639712459005,Neutral,0.8931426405906677
earnings,0.11546207696987619,0.1813345240732514,188,0.003113923211978666,Neutral,0.9603508710861206
stock,0.11509171232736774,0.24947317895071525,37,0.0006128465895915461,Neutral,0.9781312346458435
bank,0.11013302780671871,0.193816272951278,35,0.0005797197469109219,Neutral,0.9981943964958191
real,0.104587172069796,0.8066335101055209,158,0.0026170205717693045,Neutral,0.9808951020240784
dollar,0.10274824717962526,0.19619929370731165,152,0.0025176400437274325,Neutral,0.9970031380653381
supply,0.09949050681950475,0.36687662628729284,161,0.002666710835790241,Neutral,0.995686948299408
price,0.09867323794521216,0.39842659154446136,59,0.0009772418590784113,Neutral,0.9973861575126648
credit,0.09580789919335489,0.4475882324858539,132,0.002186371616921191,Neutral,0.8045470118522644
forecast,0.09303085863702577,0.48609866690563386,112,0.0018551031901149501,Neutral,0.9722055792808533
recovery,0.09266103360776233,0.7362709052672444,137,0.0022691887236227517,Neutral,0.7886345386505127
monetary,0.0917776485099241,0.07366569923860189,137,0.0022691887236227517,Neutral,0.9556929469108582
europe,0.09021821572928983,0.4201246460382124,132,0.002186371616921191,Neutral,0.9967333078384399
valuation,0.0897595580290932,0.15460340695998342,23,0.00038095869082717724,Neutral,0.999545156955719
investor,0.08681996404971055,0.12859436422612514,7,0.00011594394938218438,Neutral,0.9899742007255554
euro,0.08561700551182234,0.2712632632645909,122,0.002020737403518071,Neutral,0.9977788329124451
rise,0.08528776073080004,0.6583842171675176,112,0.0018551031901149501,Neutral,0.9268758296966553
fed,0.08396627534506766,0.3910675389716429,118,0.0019544837181568226,Neutral,0.9973893761634827
interest,0.08353371708690155,0.374125464562628,120,0.0019876105608374467,Neutral,0.9956672191619873
cycle,0.08312462073064418,0.635186876094659,107,0.0017722860834133898,Neutral,0.9989051818847656
volatility,0.0795183143640574,0.4903621209103489,113,0.0018716666114552622,Neutral,0.8875899314880371
positive,0.07935703123255647,0.7343983019937195,114,0.0018882300327955743,Positive,0.9999995231628418
curve,0.0776478787215664,0.5600539234351583,77,0.0012753834432040283,Neutral,0.996334433555603
chain,0.07706287543813328,0.5752886739563963,81,0.0013416371285652764,Neutral,0.9652547240257263
emerging,0.07488704570328304,0.638608236991972,100,0.0016563421340312055,Positive,0.9192546010017395
currency,0.07409426050419972,0.08621589629668613,38,0.0006294100109318581,Neutral,0.992960512638092
overweight,0.07256308305861368,0.5572161355844222,93,0.001540398184649021,Positive,0.9999785423278809
pressure,0.07202163930473188,0.5214800989106732,51,0.0008447344883559148,Neutral,0.5513352155685425
gdp,0.07098663500491537,0.1293980603868351,84,0.0013913273925862126,Neutral,0.9948244094848633
energy,0.06868341158546126,0.4571284711674751,89,0.001474144499287773,Neutral,0.69236159324646
demand,0.06546781931426186,0.23623191600462579,86,0.0014244542352668367,Neutral,0.9758214354515076
negative,0.06527677931604167,0.8185632500595268,88,0.0014575810779474609,Negative,0.9995384216308594
fiscal,0.06524966299793103,0.17266136212589545,86,0.0014244542352668367,Neutral,0.9995262622833252
rising,0.06494379385888688,0.6152361741151807,84,0.0013913273925862126,Positive,0.9999954700469971
hike,0.06483918026990142,0.6626955556439915,22,0.0003643952694868652,Neutral,0.95395827293396
pandemic,0.0637274913184508,0.5271900606726434,82,0.0013582005499055885,Neutral,0.8505071401596069
expectation,0.06323821285582978,0.5337327383565189,9,0.0001490707920628085,Neutral,0.5949057340621948
support,0.06318405817539226,0.7013630004755004,78,0.0012919468645443402,Neutral,0.5187147259712219
japan,0.06173138521840037,0.4156957409720894,78,0.0012919468645443402,Neutral,0.9959152340888977
portfolio,0.06037460691565753,0.21638511371904184,46,0.0007619173816543545,Neutral,0.9964280724525452
sector,0.06026944621835022,0.2415399997018597,20,0.0003312684268062411,Neutral,0.9929177761077881
treasury,0.06003627802768651,0.21400211103562022,42,0.0006956636962931063,Neutral,0.998729407787323
government,0.059137162838745996,0.2756548444961805,63,0.0010434955444396596,Neutral,0.9942598342895508
elevated,0.0585656731559183,0.6745600844584193,74,0.0012256931791830921,Neutral,0.9869613647460938
tightening,0.058081967181235386,0.5914869469632802,75,0.0012422566005234042,Neutral,0.8579915165901184
investment,0.056616880878148666,0.04639967648667764,54,0.0008944247523768509,Neutral,0.9083102941513062
lower,0.0554478905208822,0.7158336546144326,69,0.0011428760724815318,Negative,0.8151295781135559
zone,0.05519468531616293,0.6210408801285404,70,0.0011594394938218438,Neutral,0.9824473261833191
cyclical,0.05443289207843576,0.5309342734620842,68,0.0011263126511412197,Negative,0.8848003149032593
move,0.054019385135062006,0.7548115706590108,42,0.0006956636962931063,Neutral,0.9979962110519409
european,0.05398443771158245,0.4963765078200916,63,0.0010434955444396596,Neutral,0.9867280125617981
duration,0.05357190786407141,0.6264673504924081,61,0.0010103687017590354,Neutral,0.9999555349349976
developed,0.053427197448393804,0.6198836667131715,67,0.0011097492298009076,Neutral,0.9725620150566101
income,0.052775155415439284,0.09860466375730714,61,0.0010103687017590354,Neutral,0.9704801440238953
commodity,0.05102712120522446,0.16699094671699366,24,0.0003975221121674893,Neutral,0.9959518909454346
point,0.05080526281934411,0.7812352609384963,20,0.0003312684268062411,Neutral,0.999298095703125
opportunity,0.05070473928922526,0.49419164009455013,23,0.00038095869082717724,Positive,0.9999969005584717
exposure,0.05041902605048233,0.5917995982394684,55,0.000910988173717163,Negative,0.7804670929908752
world,0.0496358452982602,0.5528309687278504,56,0.0009275515950574751,Neutral,0.993931770324707
increase,0.04923871563032547,0.5863512203177277,47,0.0007784808029946665,Positive,0.9914030432701111
benefit,0.04857451746496499,0.6323166974147414,55,0.000910988173717163,Positive,0.8195917010307312
uncertainty,0.04857451746496499,0.5883451904861681,53,0.0008778613310365389,Negative,0.9863813519477844
level,0.04836627008350019,0.6751578366564391,34,0.0005631563255706098,Neutral,0.999680757522583
mean,0.04795275197250189,0.7012149710431838,27,0.00044721237618842546,Neutral,0.9934224486351013
chinese,0.04776135668967127,0.5460950655414885,56,0.0009275515950574751,Neutral,0.9973946809768677
factor,0.046691885511515534,0.5320292870575462,17,0.0002815781627853049,Neutral,0.6986986398696899
attractive,0.046065821644291585,0.7937739616094567,55,0.000910988173717163,Positive,0.9999998807907104
environment,0.046065821644291585,0.4981009038740877,55,0.000910988173717163,Positive,0.9959969520568848
stimulus,0.04605559395075444,0.5794555369927636,54,0.0008944247523768509,Neutral,0.9858139157295227
favor,0.04550070628563928,0.7802643783483001,48,0.0007950442243349786,Neutral,0.8101736903190613
major,0.04542941773061103,0.5755313682794193,54,0.0008944247523768509,Neutral,0.9851677417755127
slow,0.045258312463536426,0.848924827891337,51,0.0008447344883559148,Neutral,0.715461254119873
gold,0.045238752096546306,0.5514825639085001,49,0.0008116076456752907,Neutral,0.9872431755065918
issue,0.04498865707545644,0.7859977203918853,6,9.938052804187233e-05,Neutral,0.9714865684509277
come,0.04455858350797281,0.9091371407228118,41,0.0006791002749527942,Neutral,0.9925211071968079
towards,0.044448986887770346,0.7756962812878851,49,0.0008116076456752907,Neutral,0.9947817921638489
macro,0.04414505539270559,0.5422580931585493,52,0.0008612979096962269,Neutral,0.9956047534942627
financial,0.04349694984237919,0.04984596362298355,51,0.0008447344883559148,Neutral,0.8873848915100098
upside,0.04284479183458924,0.6976700312324154,50,0.0008281710670156028,Positive,0.9999998807907104
covid,0.04284479183458924,0.648462956526589,48,0.0007950442243349786,Neutral,0.9965852499008179
spending,0.042815309950986785,0.14653678237847967,49,0.0008116076456752907,Neutral,0.9998897314071655
keep,0.04259605878921075,0.8114227958336622,48,0.0007950442243349786,Neutral,0.9892326593399048
change,0.04218850037007955,0.7804595941162065,29,0.0004803392188690496,Neutral,0.998687207698822
versus,0.0419683920407284,0.7731072513551822,46,0.0007619173816543545,Neutral,0.9918829202651978
hedge,0.041727620343621145,0.5552734084274564,39,0.0006459734322721701,Neutral,0.9910451769828796
cost,0.04170864089776886,0.3880888770104189,9,0.0001490707920628085,Neutral,0.9978621602058411
performance,0.041527991146575176,0.6190614468851093,48,0.0007950442243349786,Positive,0.9915494918823242
modest,0.041527991146575176,0.6772698718344704,48,0.0007950442243349786,Neutral,0.7539743185043335
region,0.041527991146575176,0.5006753677755735,11,0.0001821976347434326,Neutral,0.999630331993103
consumer,0.04149279423849052,0.347187773962544,42,0.0006956636962931063,Neutral,0.9864230751991272
