word,tfidf_score,semantic_position,frequency,relative_frequency,sentiment_label,sentiment_score
rate,0.25051275855209526,0.44816251480900093,325,0.028776341420223128,Neutral,0.990522563457489
growth,0.24718919496048836,0.3765240772915728,331,0.02930759695413494,Positive,0.999591052532196
equity,0.19582498838624493,0.16262823510012941,208,0.018416858508942802,Neutral,0.9944877028465271
policy,0.18586375239790814,0.47000018594468024,210,0.018593943686913406,Neutral,0.9958975315093994
bond,0.16859987746726823,0.503738584983678,161,0.01425535682663361,Neutral,0.9852535128593445
yield,0.167744361886439,0.4708303588724908,164,0.014520984593589517,Neutral,0.993137776851654
inflation,0.15596175633149337,0.16919673790671597,164,0.014520984593589517,Neutral,0.967172384262085
tariff,0.14966325496440458,0.19961741415661816,148,0.013104303169824685,Neutral,0.997653067111969
risk,0.14698029398980852,0.5197275135671745,149,0.013192845758809987,Negative,0.9412673711776733
cut,0.1413536765303945,0.729532645717549,137,0.012130334690986365,Neutral,0.7620930075645447
credit,0.13132973589597502,0.4310683754453398,116,0.010270940322295023,Neutral,0.8045471906661987
global,0.13129629954609268,0.5082652582543298,125,0.011067823623162741,Neutral,0.7521668672561646
investor,0.12732722929406842,0.15456551128956858,119,0.01053656808925093,Neutral,0.9899742007255554
return,0.11388566044491498,0.587993287564659,102,0.009031344076500797,Positive,0.6636303663253784
asset,0.11354970997445228,0.31804875016277684,101,0.008942801487515495,Neutral,0.8931426405906677
fed,0.10855500814522827,0.3774991397079901,91,0.008057375597662475,Neutral,0.9973893761634827
income,0.10779047847264764,0.052578676945301384,90,0.007968833008677173,Neutral,0.9704801440238953
interest,0.10755452508722091,0.36861015819006004,95,0.008411545953603683,Neutral,0.9956672191619873
valuation,0.10062131218071627,0.1782264142793254,86,0.007614662652735966,Neutral,0.999545156955719
bank,0.09980714148588449,0.19533014108903501,83,0.00734903488578006,Neutral,0.9981943964958191
fiscal,0.09943851631082191,0.13103438744338897,81,0.007171949707809456,Neutral,0.9995262622833252
europe,0.09901968655752394,0.40216424903002707,81,0.007171949707809456,Neutral,0.9967333078384399
sector,0.09658008201488084,0.251488276551406,78,0.0069063219408535504,Neutral,0.9929177761077881
dollar,0.09658008201488084,0.18400049465086538,78,0.0069063219408535504,Neutral,0.9970031380653381
opportunity,0.09461608665932404,0.49828069479150633,79,0.006994864529838852,Positive,0.9999969005584717
stock,0.09330033629163538,0.26338874283689506,76,0.0067292367628829465,Neutral,0.9781312346458435
trump,0.09207270028779807,0.6040627607002776,75,0.0066406941738976445,Neutral,0.9949477910995483
earnings,0.09030306104260846,0.14408470774388943,70,0.006197981228971135,Neutral,0.9603508710861206
investment,0.09008522272939516,0.06729252792286966,74,0.0065521515849123425,Neutral,0.9083102941513062
trade,0.08961742828012347,0.48205409075222977,73,0.0064636089959270405,Neutral,0.9979304075241089
corporate,0.0860932708286213,0.24495990453054883,68,0.0060208960510005315,Neutral,0.9996086955070496
lower,0.08456549307893213,0.7565878808449896,68,0.0060208960510005315,Negative,0.8151295781135559
china,0.08318162347457288,0.343408546119843,66,0.0058438108730299275,Neutral,0.9977070093154907
price,0.08267485811656371,0.37701238940130033,65,0.0057552682840446255,Neutral,0.9973861575126648
private,0.0801440290832343,0.574646829803017,57,0.00504692757216221,Neutral,0.9951653480529785
attractive,0.07794951277743281,0.7992838274807997,61,0.005401097928103418,Positive,0.9999998807907104
fixed,0.07685659475068349,0.7662769459231523,59,0.005224012750132814,Neutral,0.9881495237350464
support,0.07141178341915279,0.7229837712864727,54,0.0047812998052063045,Neutral,0.5187146663665771
portfolio,0.07141178341915279,0.26379361516259975,54,0.0047812998052063045,Neutral,0.9964280724525452
forecast,0.07127656351475284,0.4846406388068743,51,0.004515672038250399,Neutral,0.9722055792808533
tax,0.06964639060082463,0.17139238235196802,51,0.004515672038250399,Neutral,0.9863604307174683
government,0.06866719866930836,0.24826258075136476,50,0.004427129449265097,Neutral,0.9942598342895508
european,0.06848140416123312,0.4840251046941574,49,0.004338586860279795,Neutral,0.9867280125617981
easing,0.06814944763160173,0.6192116025429972,51,0.004515672038250399,Neutral,0.8675231337547302
duration,0.06708382448447325,0.6326661042457389,48,0.004250044271294493,Neutral,0.9999555349349976
benefit,0.0656862448077134,0.6395831424514592,47,0.004161501682309191,Positive,0.819592297077179
spread,0.06344807025056544,0.7467323571717801,44,0.003895873915353285,Neutral,0.9901752471923828
uncertainty,0.0631738227757637,0.6194713662028882,46,0.004072959093323889,Negative,0.9863813519477844
cycle,0.06251931728487437,0.639293256449821,45,0.003984416504338587,Neutral,0.9989051818847656
volatility,0.06112999912298827,0.4989155644167146,44,0.003895873915353285,Neutral,0.8875899314880371
environment,0.05873934880387481,0.5254622603331984,41,0.003630246148397379,Positive,0.9959969520568848
monetary,0.05873934880387481,0.06515221421209372,41,0.003630246148397379,Neutral,0.9556929469108582
overweight,0.05757634339203253,0.6158788313597445,38,0.0033646183814414732,Positive,0.9999785423278809
energy,0.05699581668350796,0.4790792450170105,39,0.0034531609704267752,Neutral,0.6923614740371704
treasury,0.05623806226754665,0.20284591645037992,39,0.0034531609704267752,Neutral,0.998729407787323
impact,0.05553438548649495,0.677757364277799,38,0.0033646183814414732,Negative,0.54306560754776
deregulation,0.055519184555354366,0.5490578802668605,39,0.0034531609704267752,Neutral,0.9567705392837524
economy,0.055160233789986794,0.0538956896425552,38,0.0033646183814414732,Negative,0.8808605074882507
real,0.054796060670942885,0.7788900446526964,38,0.0033646183814414732,Neutral,0.9808951020240784
japan,0.05373718601475264,0.3856381574160658,36,0.0031875332034708697,Neutral,0.9959152340888977
gdp,0.05303084259792469,0.08737997437891754,35,0.0030989906144855677,Neutral,0.9948244094848633
consumer,0.052975968671733854,0.3269722865419074,36,0.0031875332034708697,Neutral,0.9864230751991272
curve,0.05224448640323174,0.5900044425854883,35,0.0030989906144855677,Neutral,0.996334433555603
currency,0.051207537727511174,0.07866374207189852,33,0.0029219054365149637,Neutral,0.992960512638092
demand,0.05112776237552053,0.24086410063638397,34,0.0030104480255002657,Neutral,0.9758214354515076
euro,0.05112776237552053,0.2724190485496403,34,0.0030104480255002657,Neutral,0.9977788329124451
scenario,0.05075178679171083,0.6369403904271588,34,0.0030104480255002657,Neutral,0.7729665637016296
infrastructure,0.050508000433465795,0.3132200225114273,32,0.0028333628475296618,Neutral,0.947318434715271
target,0.050387036052395716,0.6637747457220354,34,0.0030104480255002657,Neutral,0.9968138337135315
range,0.049655794160010834,0.7326024611416015,32,0.0028333628475296618,Neutral,0.9989168643951416
exposure,0.04962400465859346,0.6124647679859286,33,0.0029219054365149637,Negative,0.7804670929908752
fund,0.04962400465859346,0.2040156752505815,33,0.0029219054365149637,Neutral,0.9902026653289795
deficit,0.04925226074764129,0.27267747924550484,32,0.0028333628475296618,Neutral,0.8909476399421692
stimulus,0.04890506440379585,0.5496680029014611,33,0.0029219054365149637,Neutral,0.9858139157295227
ecb,0.04848534180381686,0.5441113948761922,32,0.0028333628475296618,Neutral,0.9988077878952026
major,0.04812024694166638,0.570494879638411,32,0.0028333628475296618,Neutral,0.9851677417755127
cap,0.04777408115285842,0.5223292908184451,30,0.002656277669559058,Neutral,0.9984009861946106
